tm,vscode
background,editor.background
foreground,editor.foreground
hoverHighlight,editor.hoverHighlightBackground
linkForeground,editorLink.foreground
selection,editor.selectionBackground
inactiveSelection,editor.inactiveSelectionBackground
selectionHighlightColor,editor.selectionHighlightBackground
wordHighlight,editor.wordHighlightBackground
wordHighlightStrong,editor.wordHighlightStrongBackground
findMatchHighlight,editor.findMatchHighlightBackground
findMatchHighlight,peekViewResult.matchHighlightBackground
currentFindMatchHighlight,editor.findMatchBackground
findRangeHighlight,editor.findRangeHighlightBackground
referenceHighlight,peekViewEditor.matchHighlightBackground
lineHighlight,editor.lineHighlightBackground
rangeHighlight,editor.rangeHighlightBackground
caret,editorCursor.foreground
invisibles,editorWhitespace.foreground
guide,editorIndentGuide.background
ansiBlack,terminal.ansiBlack
ansiRed,terminal.ansiRed
ansiGreen,terminal.ansiGreen
ansiYellow,terminal.ansiYellow
ansiBlue,terminal.ansiBlue
ansiMagenta,terminal.ansiMagenta
ansiCyan,terminal.ansiCyan
ansiWhite,terminal.ansiWhite
ansiBrightBlack,terminal.ansiBrightBlack
ansiBrightRed,terminal.ansiBrightRed
ansiBrightGreen,terminal.ansiBrightGreen
ansiBrightYellow,terminal.ansiBrightYellow
ansiBrightBlue,terminal.ansiBrightBlue
ansiBrightMagenta,terminal.ansiBrightMagenta
ansiBrightCyan,terminal.ansiBrightCyan
ansiBrightWhite,terminal.ansiBrightWhite
gutter,editorGutter.background
gutterForeground,editorLineNumber.foreground
invisibles,editorRuler.foreground
invalid,errorForeground
invalid,list.errorForeground
invalid,inputValidation.errorBorder
invalid,editorBracketHighlight.unexpectedBracket.foreground
